volume,J,RMSE_gJ_vs_local_gJ,relative_RMSE_gJ_vs_local_gJ,corr_gJ_vs_local_gJ
vsharp_local,2,0.04699369913620825,0.5128434074902593,0.8597313385854731
vsharp_local,3,0.0541732889006219,0.4826156877224181,0.8761745068237748
vsharp_local,4,0.06332453481933883,0.5007006460321497,0.8656888983579742
vsharp_local,5,0.07229704841284089,0.5292602426108991,0.8486319464668467
