J,alpha,RMSE_bhat_vs_bloc,relative_RMSE_bhat_vs_bloc,corr_bhat_vs_bloc
4,0.0001,0.0010270352189415291,0.007279528207745693,0.9999979639392754
4,0.001,0.002967397165816619,0.021032629625310346,0.99988921511745
3,0.0001,0.0037964666899650843,0.026908995767302064,0.9997927599244107
4,0.01,0.010722600136405804,0.07600077262568315,0.9979174341633621
3,0.001,0.012583495450060572,0.08919062208515226,0.9968047567633022
3,0.01,0.032129376691477016,0.2277299742105626,0.9766524111852406
