J,RMSE_mmt_gJ_vs_starlet_gJ,corr_mmt_gJ_vs_starlet_gJ,energy_mmt_gJ
2,0.038492330082373585,0.9175848986217977,0.005133694495038321
3,0.06146295470717273,0.8548944473091646,0.005825230073807996
4,0.07791565986567096,0.807220155181896,0.006367722532677848
5,0.08964594040317846,0.7730393561252115,0.006829715826340873
