J,RMSE_total_gJ_vs_local_gJ,relative_RMSE_total_gJ_vs_local_gJ,corr_total_gJ_vs_local_gJ,energy_total_gJ,energy_total_cJ
2,0.4222455753692733,4.607976466002789,0.19688957969392926,0.1854204392289481,1.8693822918336143
3,0.6505458414201415,5.795543062336326,0.16473800496359933,0.43495816657286923,1.3101795918672228
4,0.9995306030274143,7.9031866573126734,0.11415400426370105,1.012013436934987,0.590860694196553
5,1.4025526559950257,10.267574891129904,0.07894908348218875,1.9787140557648781,0.10126000764884577
