J,RMSE_inner_total_vs_local_gJ,RMSE_border_total_vs_local_gJ,corr_inner,corr_border
2,0.08777969016167786,1.1683886890355804,0.6928839525300328,0.07783496262860876
3,0.3191239788406996,1.630680277535472,0.31266302000366875,0.08201189713271122
4,0.6981158492590506,2.1352164329217214,0.15517229972269425,0.07127636519395167
5,1.1335473193562928,2.591077729903342,0.09397641573138732,0.05436341190404933
