J,RMSE_gJ_vs_bloc,relative_RMSE_gJ_vs_bloc,corr_gJ_vs_bloc,energy_gJ,energy_cJ
2,0.08676306056382198,0.6149683429703765,0.8039408851441794,0.008396720748214992,0.00752782867840144
3,0.06318293088077379,0.44783462057772383,0.9008716375351761,0.012599912692872773,0.003992082754684637
4,0.03888969428923319,0.2756464640626865,0.9643209281972103,0.015995127740604315,0.0015124083219100162
5,0.015785442724143638,0.11188572062853444,0.9946055685939816,0.01865961124329152,0.0002491802019972193
