case,rmse,mae,rmse_masked,mae_masked,ssim_slicewise,ssim_slicewise_masked,wavepsi_haar,wavepsi_db2,wavepsi_sym4,wavepsi_coif1
streaking,0.02037153415145219,0.0022187755637575923,0.042672783164200936,0.009735714716369262,0.8868420879316526,0.6716000476731349,0.46445189853166746,0.4428682081575372,0.4349227345608575,0.4436619238470906
reconNDI1,0.008687064558627994,0.0032260920074161275,0.018197020385787757,0.01415569557642465,0.831616390916725,0.5617144103825206,0.46115779158063214,0.4546403983244066,0.4612474256217531,0.45742910610791093
reconNDI2,0.006314323547936574,0.002301982416219135,0.013226777992589098,0.010100816167478054,0.861497817874876,0.6283913767167542,0.5398796950191234,0.5264689209107747,0.5274159424161863,0.5275119519619355
recontv1,0.005368292138770311,0.001928352566056016,0.011245101360395082,0.008461374265320275,0.8825106618799186,0.6685209365617438,0.4704923245148859,0.4489528662687596,0.44219618849245057,0.44978730386647686
recontv2,0.027513449126697537,0.0023789280140477627,0.05763313847421465,0.010438444002116413,0.8918522007580483,0.6814443268226607,0.4637068251735662,0.44187451228471497,0.4338299294504492,0.44270003888554854
recontv3,0.04968257946946403,0.0038049338724779748,0.10407139319880271,0.016695582600684742,0.9302791213003592,0.7910348879705467,0.5629194942050729,0.5408462845713781,0.5347983201983594,0.5408003485122214
