image,noise,method,variant,threshold,n_scales,RMSE,SSIM,HaarPSI
deep_sky,gaussian_003,mmt,diamond,soft,5,0.011830844232615116,0.9524228771622507,0.41248877428390207
deep_sky,gaussian_003,mmt,circle,soft,5,0.013250772754010254,0.9485690146200674,0.4076562492255414
deep_sky,gaussian_003,mmt,square,soft,5,0.01419222825202815,0.9562946401394135,0.44417741573177816
deep_sky,gaussian_003,mmt,square,hard,5,0.014770065999557111,0.8791673615324798,0.4078503605791399
deep_sky,gaussian_003,mmt,diamond,hard,5,0.018120484326117507,0.7908238319447924,0.35703585507291347
deep_sky,gaussian_003,mmt,circle,hard,5,0.018581217306018874,0.7885556473297414,0.3600798725353097
deep_sky,gaussian_003,mmt_avg,square+diamond,soft,5,0.01300531259329791,0.9575086110335131,0.4568481171993652
deep_sky,gaussian_003,mmt_avg,square+diamond,hard,5,0.015415662114740719,0.8579832758116124,0.42497237602811117
deep_sky,gaussian_003,noisy,none,none,0,0.030022289394465624,0.5528424353171463,0.03749785978935612
deep_sky,gaussian_003,starlet,binomial3,hard,5,0.01483100766990587,0.9421165301662466,0.45130065907013206
deep_sky,gaussian_003,starlet,b3spline,hard,5,0.018007678247559836,0.9352513482475111,0.4436437979907037
deep_sky,gaussian_003,starlet,binomial3,soft,5,0.019174792730526226,0.9488538355801842,0.45582706453116817
deep_sky,gaussian_003,starlet,b3spline,soft,5,0.02348230847233875,0.9435914497319587,0.4472829787480834
deep_sky,gaussian_005,mmt,diamond,soft,5,0.014076786577739323,0.9248274898216018,0.387701591015714
deep_sky,gaussian_005,mmt,circle,soft,5,0.015366456216364507,0.9215326749021245,0.3867532845710009
deep_sky,gaussian_005,mmt,square,soft,5,0.015536958940444809,0.9454627674074652,0.42688269487606256
deep_sky,gaussian_005,mmt,square,hard,5,0.02125051211573358,0.773352042893836,0.3975008188745909
deep_sky,gaussian_005,mmt,diamond,hard,5,0.02855561521062809,0.6123774874301472,0.3469589719723862
deep_sky,gaussian_005,mmt,circle,hard,5,0.028823174365451412,0.6115602254565778,0.35233854572850953
deep_sky,gaussian_005,mmt_avg,square+diamond,soft,5,0.014532925045037072,0.9444734359193069,0.4393615859742444
deep_sky,gaussian_005,mmt_avg,square+diamond,hard,5,0.022969224837308896,0.7330053355876338,0.41365023366603476
deep_sky,gaussian_005,noisy,none,none,0,0.05003057925068956,0.31549635076393506,0.01915454948495835
deep_sky,gaussian_005,starlet,binomial3,hard,5,0.016774791054472278,0.9175168879825969,0.44433694106670135
deep_sky,gaussian_005,starlet,b3spline,hard,5,0.01977281183211117,0.9103680001992384,0.43727849835733246
deep_sky,gaussian_005,starlet,binomial3,soft,5,0.020000830418151885,0.9449088426092076,0.4485613135226403
deep_sky,gaussian_005,starlet,b3spline,soft,5,0.024206586489322317,0.9395799349217973,0.44048326501117196
deep_sky,uniform_005,mmt,square,hard,5,0.012102441497243516,0.9345515269619318,0.42189612606779037
deep_sky,uniform_005,mmt,diamond,soft,5,0.012172089528420912,0.9582026920589091,0.4310929846047946
deep_sky,uniform_005,mmt,circle,soft,5,0.013634805557145382,0.9543457258965475,0.42750336228651553
deep_sky,uniform_005,mmt,square,soft,5,0.0147325103302365,0.9558128901583396,0.4511928791014663
deep_sky,uniform_005,mmt,diamond,hard,5,0.014890568824250048,0.8574337316203281,0.3834896248758629
deep_sky,uniform_005,mmt,circle,hard,5,0.015451416207816903,0.8559783390896988,0.38731554013479186
deep_sky,uniform_005,mmt_avg,square+diamond,hard,5,0.011232265653875017,0.9435652033740897,0.4465251289747234
deep_sky,uniform_005,mmt_avg,square+diamond,soft,5,0.013534356183769716,0.9589444171014102,0.46935120295278265
deep_sky,uniform_005,noisy,none,none,0,0.028858123061658716,0.5694541343442426,0.040160389951005175
deep_sky,uniform_005,starlet,binomial3,hard,5,0.014235809802275146,0.9569329223750724,0.45558726563463847
deep_sky,uniform_005,starlet,b3spline,hard,5,0.017477321254418907,0.9515596292093985,0.4465195513144008
deep_sky,uniform_005,starlet,binomial3,soft,5,0.019194458293872577,0.9488799511695629,0.45799491820657723
deep_sky,uniform_005,starlet,b3spline,soft,5,0.023519473343568527,0.9435513682995821,0.44864538556313294
deep_sky,uniform_010,mmt,diamond,soft,5,0.015076866201440157,0.9344318794121199,0.39692843748057294
deep_sky,uniform_010,mmt,circle,soft,5,0.016386202129439843,0.9317021462695795,0.39845790716698015
deep_sky,uniform_010,mmt,square,soft,5,0.0168950102113925,0.9442303835182767,0.42883734464179746
